frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
"148","Apr 24, 2024 14:01:16.848391000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"149","Apr 24, 2024 14:01:16.848439000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"150","Apr 24, 2024 14:01:16.848439000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"151","Apr 24, 2024 14:01:16.848439000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"152","Apr 24, 2024 14:01:16.848439000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"153","Apr 24, 2024 14:01:16.848447000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"154","Apr 24, 2024 14:01:16.848513000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"155","Apr 24, 2024 14:01:16.850200000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"156","Apr 24, 2024 14:01:16.850422000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"157","Apr 24, 2024 14:01:16.850422000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"158","Apr 24, 2024 14:01:16.850422000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"159","Apr 24, 2024 14:01:16.850467000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"160","Apr 24, 2024 14:01:16.850467000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"161","Apr 24, 2024 14:01:16.850467000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"162","Apr 24, 2024 14:01:16.850467000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
"163","Apr 24, 2024 14:01:16.850506000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17"
"164","Apr 24, 2024 14:01:16.850517000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17"
