frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.proto,frame.len,frame.protocols
"130","1714740792.831063000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","173.194.182.105","17","238","eth:ethertype:ip:udp:quic"
"131","1714740792.831234000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","173.194.182.105","17","315","eth:ethertype:ip:udp:quic"
"132","1714740792.831350000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","173.194.182.105","17","231","eth:ethertype:ip:udp:quic"
"133","1714740792.834312000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","173.194.182.105","172.16.31.14","17","575","eth:ethertype:ip:udp:quic"
"134","1714740792.834312000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","173.194.182.105","172.16.31.14","17","160","eth:ethertype:ip:udp:quic"
"135","1714740792.834467000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","173.194.182.105","172.16.31.14","17","72","eth:ethertype:ip:udp:quic"
"136","1714740792.834669000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","173.194.182.105","172.16.31.14","17","72","eth:ethertype:ip:udp:quic"
"137","1714740792.834669000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","173.194.182.105","172.16.31.14","17","168","eth:ethertype:ip:udp:quic"
"138","1714740792.834669000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","173.194.182.105","172.16.31.14","17","66","eth:ethertype:ip:udp:quic"
"139","1714740792.834669000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","173.194.182.105","172.16.31.14","17","72","eth:ethertype:ip:udp:quic"
"140","1714740792.834721000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","173.194.182.105","172.16.31.14","17","66","eth:ethertype:ip:udp:quic"
"141","1714740792.835805000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","173.194.182.105","17","79","eth:ethertype:ip:udp:quic"
"142","1714740792.840840000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1391","eth:ethertype:ip:udp:data"
"143","1714740792.840908000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","853","eth:ethertype:ip:udp:data"
"144","1714740792.841183000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"145","1714740792.846310000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1391","eth:ethertype:ip:udp:data"
"146","1714740792.846496000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"147","1714740792.846496000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"148","1714740792.846496000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","581","eth:ethertype:ip:udp:data"
"149","1714740792.846496000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","521","eth:ethertype:ip:udp:data"
"150","1714740792.846577000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"151","1714740792.846719000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"152","1714740792.848629000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1391","eth:ethertype:ip:udp:data"
"153","1714740792.848804000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"154","1714740792.848804000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"155","1714740792.848804000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1138","eth:ethertype:ip:udp:data"
"156","1714740792.848873000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"157","1714740792.850387000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1391","eth:ethertype:ip:udp:data"
"158","1714740792.850578000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"159","1714740792.850578000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"160","1714740792.850578000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"161","1714740792.850623000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"162","1714740792.850623000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"163","1714740792.850623000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"164","1714740792.850623000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"165","1714740792.850652000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","76","eth:ethertype:ip:udp:data"
"166","1714740792.850704000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"167","1714740792.850704000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"168","1714740792.850704000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"169","1714740792.850704000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","834","eth:ethertype:ip:udp:data"
