requestStart,requestEnd,duration,durationNetto,downLinkBytes,downLinkPackets,upLinkBytes,upLinkPackets,port,requestSize,protocol,stalling,qc,qcFrom,qcTo,phase,bhfirst,bhlast,bhmin,bhmax,bhmean,bhstd,videoid
2020-02-14 09:08:11.252367020,2020-02-14 09:08:11.988330841,0 days 00:00:00.735963821,0 days 00:00:00.719492912,88930.0,69,1282.0,34,38471.0,754.0,udpnew,0,0,242,0,filling,82927,82927,82927,82927,82927.0,0.0,jcgcswfv-6A
2020-02-14 09:08:11.988330841,2020-02-14 09:08:12.008857965,0 days 00:00:00.020527124,0 days 00:00:00.014316082,4103.0,4,85.0,2,38471.0,761.0,udpnew,0,0,242,0,filling,82927,82927,82927,82927,82927.0,0.0,jcgcswfv-6A
2020-02-14 09:08:12.008857965,2020-02-14 09:08:15.640957117,0 days 00:00:03.632099152,0 days 00:00:03.615055085,440965.0,329,6250.0,165,38471.0,759.0,udpnew,0,0,242,0,filling,92961,95340,92961,95340,94057.0,1200.4736565206251,jcgcswfv-6A
2020-02-14 09:08:15.640957117,2020-02-14 09:08:15.655592918,0 days 00:00:00.014635801,0 days 00:00:00.014588833,4103.0,4,88.0,2,38471.0,761.0,udpnew,0,0,242,0,filling,95340,95340,95340,95340,95340.0,0.0,jcgcswfv-6A
2020-02-14 09:08:15.655592918,2020-02-14 09:08:19.687760115,0 days 00:00:04.032167197,0 days 00:00:04.010930062,488522.0,364,6948.0,184,38471.0,752.0,udpnew,0,0,242,0,filling,96922,100988,96922,100988,98842.4,1705.4824244183812,jcgcswfv-6A
2020-02-14 09:08:19.687760115,2020-02-14 09:08:19.700703144,0 days 00:00:00.012943029,0 days 00:00:00.004125118,2745.0,3,85.0,2,38471.0,761.0,udpnew,0,0,242,0,filling,100988,100988,100988,100988,100988.0,0.0,jcgcswfv-6A
2020-02-14 09:08:19.700703144,2020-02-14 09:08:22.532521963,0 days 00:00:02.831818819,0 days 00:00:02.809971809,342415.0,258,4788.0,127,38471.0,752.0,udpnew,0,1,242,243,filling,104081,106796,104081,106796,105438.5,1919.7949109214765,jcgcswfv-6A
2020-02-14 09:08:22.532521963,2020-02-14 09:08:22.543581963,0 days 00:00:00.011060,0 days 00:00:00.006095886,2745.0,3,85.0,2,38471.0,761.0,udpnew,0,1,242,243,filling,106796,106796,106796,106796,106796.0,0.0,jcgcswfv-6A
2020-02-14 09:08:22.543581963,2020-02-14 09:08:24.786718130,0 days 00:00:02.243136167,0 days 00:00:02.224407196,270482.0,203,3895.0,102,38471.0,751.0,udpnew,0,0,243,0,filling,111486,114985,111486,114985,113235.5,2474.1666273717296,jcgcswfv-6A
2020-02-14 09:08:24.786718130,2020-02-14 09:08:24.992261171,0 days 00:00:00.205543041,0 days 00:00:00.204296827,27298.0,21,418.0,11,38471.0,761.0,udpnew,0,0,243,0,filling,114985,114985,114985,114985,114985.0,0.0,jcgcswfv-6A
2020-02-14 09:08:24.992261171,2020-02-14 09:08:32.650175095,0 days 00:00:07.657913924,0 days 00:00:01.344662905,161780.0,122,2314.0,61,38471.0,752.0,udpnew,0,0,243,0,filling,122079,120113,120113,126121,122967.875,2023.538939404358,jcgcswfv-6A
2020-02-14 09:08:32.650175095,2020-02-14 09:08:34.972770929,0 days 00:00:02.322595834,0 days 00:00:02.322520971,285296.0,214,4001.0,106,38471.0,754.0,udpnew,0,0,243,0,steady,120458,120407,120407,120458,120432.5,36.062445840513924,jcgcswfv-6A
