frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.proto,frame.len,frame.protocols
"1506","1714740712.616619000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1507","1714740712.616717000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1508","1714740712.616717000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1509","1714740712.616717000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1510","1714740712.616717000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1511","1714740712.616717000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1512","1714740712.616717000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1513","1714740712.616717000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1514","1714740712.616717000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1515","1714740712.616734000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1516","1714740712.616734000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1517","1714740712.616783000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1518","1714740712.616783000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1519","1714740712.616783000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1520","1714740712.616783000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1521","1714740712.616894000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","74.125.162.166","17","75","eth:ethertype:ip:udp:data"
"1522","1714740712.617032000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1523","1714740712.617032000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1524","1714740712.617032000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1525","1714740712.617032000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1526","1714740712.617032000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1527","1714740712.617032000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1528","1714740712.617032000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1529","1714740712.617032000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1530","1714740712.617057000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1531","1714740712.617057000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1532","1714740712.617057000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1533","1714740712.617057000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1534","1714740712.617057000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1535","1714740712.617057000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1536","1714740712.617057000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1537","1714740712.617057000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1538","1714740712.617081000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1539","1714740712.617081000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1540","1714740712.617081000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1541","1714740712.617081000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1542","1714740712.617081000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1543","1714740712.617081000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1544","1714740712.617081000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1545","1714740712.617081000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1546","1714740712.617093000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1547","1714740712.617093000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1548","1714740712.617093000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1549","1714740712.617142000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1550","1714740712.617142000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1551","1714740712.617142000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1552","1714740712.617142000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1553","1714740712.617142000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1554","1714740712.617258000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","74.125.162.166","17","75","eth:ethertype:ip:udp:data"
"1555","1714740712.617394000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
